2021-02-21,AK,55198,0
2021-02-21,AL,486843,857
2021-02-21,AR,315514,284
2021-02-21,AS,0,0
2021-02-21,AZ,807967,1804
2021-02-21,CA,3441946,6760
2021-02-21,CO,420614,802
2021-02-21,CT,273101,0
2021-02-21,DC,39648,95
2021-02-21,DE,84732,201
2021-02-21,FL,1834708,4935
2021-02-21,GA,985505,1758
2021-02-21,GU,7720,4
2021-02-21,HI,27904,67
2021-02-21,IA,277268,302
2021-02-21,ID,169150,197
2021-02-21,IL,1174409,1585
2021-02-21,IN,655541,881
2021-02-21,KS,290832,0
2021-02-21,KY,396997,979
2021-02-21,LA,424176,1889
2021-02-21,MA,569284,1520
2021-02-21,MD,376355,618
2021-02-21,ME,43497,130
2021-02-21,MI,636269,0
2021-02-21,MN,479036,879
2021-02-21,MO,474997,410
2021-02-21,MP,143,8
2021-02-21,MS,290632,390
2021-02-21,MT,98779,138
2021-02-21,NC,842637,2541
2021-02-21,ND,99277,49
2021-02-21,NE,198949,198
2021-02-21,NH,73413,252
2021-02-21,NJ,766405,2031
2021-02-21,NM,182789,314
2021-02-21,NV,290972,301
2021-02-21,NY,1578785,6610
2021-02-21,OH,953767,1461
2021-02-21,OK,419354,1036
2021-02-21,OR,152711,521
2021-02-21,PA,913497,1906
2021-02-21,PR,99084,249
2021-02-21,RI,123821,273
2021-02-21,SC,504149,2872
2021-02-21,SD,111304,139
2021-02-21,TN,765137,1129
2021-02-21,TX,2588101,4484
2021-02-21,UT,366735,701
2021-02-21,VA,564115,2303
2021-02-21,VI,2575,0
2021-02-21,VT,14493,134
2021-02-21,WA,333794,890
2021-02-21,WI,612240,451
2021-02-21,WV,129616,252
2021-02-21,WY,53795,112
2021-02-20,AK,55198,0
2021-02-20,AL,485986,774
2021-02-20,AR,315230,517
2021-02-20,AS,0,0
2021-02-20,AZ,806163,2047
2021-02-20,CA,3435186,6668
2021-02-20,CO,419812,1117
2021-02-20,CT,273101,0
2021-02-20,DC,39553,92
2021-02-20,DE,84531,350
2021-02-20,FL,1829773,7129
2021-02-20,GA,983747,3336
2021-02-20,GU,7716,1
2021-02-20,HI,27837,59
2021-02-20,IA,276966,345
2021-02-20,ID,168953,314
2021-02-20,IL,1172824,1922
2021-02-20,IN,654660,1415
2021-02-20,KS,290832,0
2021-02-20,KY,396018,1331
2021-02-20,LA,422287,0
2021-02-20,MA,567764,1970
2021-02-20,MD,375737,763
2021-02-20,ME,43367,143
2021-02-20,MI,636269,823
2021-02-20,MN,478157,870
2021-02-20,MO,474587,566
2021-02-20,MP,135,0
2021-02-20,MS,290242,350
2021-02-20,MT,98641,264
2021-02-20,NC,840096,3446
2021-02-20,ND,99228,75
2021-02-20,NE,198751,309
2021-02-20,NH,73161,394
2021-02-20,NJ,764374,2876
2021-02-20,NM,182475,425
2021-02-20,NV,290671,371
2021-02-20,NY,1572175,7692
2021-02-20,OH,952306,2611
2021-02-20,OK,418318,973
2021-02-20,OR,152190,477
2021-02-20,PA,911591,2818
2021-02-20,PR,98835,211
2021-02-20,RI,123548,403
2021-02-20,SC,501277,3340
2021-02-20,SD,111165,147
2021-02-20,TN,764008,1335
2021-02-20,TX,2583617,6486
2021-02-20,UT,366034,778
2021-02-20,VA,561812,1882
2021-02-20,VI,2575,10
2021-02-20,VT,14359,108
2021-02-20,WA,332904,897
2021-02-20,WI,611789,815
2021-02-20,WV,129364,309
2021-02-20,WY,53683,0
2021-02-19,AK,55198,189
2021-02-19,AL,485212,847
2021-02-19,AR,314713,268
2021-02-19,AS,0,0
2021-02-19,AZ,804116,1918
2021-02-19,CA,3428518,6798
2021-02-19,CO,418695,1280
2021-02-19,CT,273101,1198
2021-02-19,DC,39461,160
2021-02-19,DE,84181,329
2021-02-19,FL,1822644,6536
2021-02-19,GA,980411,3679
2021-02-19,GU,7715,10
2021-02-19,HI,27778,61
2021-02-19,IA,276621,392
2021-02-19,ID,168639,286
2021-02-19,IL,1170902,2219
2021-02-19,IN,653245,1035
2021-02-19,KS,290832,2115
2021-02-19,KY,394687,1958
2021-02-19,LA,422287,441
2021-02-19,MA,565794,1818
2021-02-19,MD,374974,1008
2021-02-19,ME,43224,134
2021-02-19,MI,635446,1473
2021-02-19,MN,477287,995
2021-02-19,MO,474021,562
2021-02-19,MP,135,0
2021-02-19,MS,289892,360
2021-02-19,MT,98377,277
2021-02-19,NC,836650,3227
2021-02-19,ND,99153,119
2021-02-19,NE,198442,400
2021-02-19,NH,72767,368
2021-02-19,NJ,761498,3047
2021-02-19,NM,182050,311
2021-02-19,NV,290300,420
2021-02-19,NY,1564483,8710
2021-02-19,OH,949695,2306
2021-02-19,OK,417345,869
2021-02-19,OR,151713,456
2021-02-19,PA,908773,2778
2021-02-19,PR,98624,118
